YEAR,NAME,SAEMHI_LB90,SAEMHI_PT,SAEMHI_UB90,SAEPOVRT0_17_PT,SAEPOVALL_PT,SAEPOVRTALL_PT,YEAR,state,county
2013,Dixie County,29086,31649,34212,39.5,3916,27.1,2013,12,029
2013,Duval County,46362,47876,49390,25.6,148217,17.1,2013,12,031
2013,Escambia County,40738,42742,44746,29.6,50580,17.6,2013,12,033
2013,Flagler County,44464,47872,51280,24.4,14322,14.5,2013,12,035
2013,Franklin County,30436,33471,36506,38.9,2545,25.9,2013,12,037
2013,Gadsden County,31424,34348,37272,39.6,11060,25.3,2013,12,039
2013,Gilchrist County,36129,39854,43579,32.2,3446,21.9,2013,12,041
2013,Glades County,35168,39003,42838,36.0,2848,24.1,2013,12,043
2013,Gulf County,35222,38880,42538,29.7,2744,22.4,2013,12,045
2013,Hamilton County,30969,33836,36703,40.5,3386,29.2,2013,12,047
2013,Hardee County,31700,34884,38068,38.7,7368,28.8,2013,12,049
2013,Hendry County,33899,37085,40271,38.4,9249,25.1,2013,12,051
2013,Hernando County,37041,39280,41519,25.6,26818,15.6,2013,12,053
2013,Highlands County,32329,34054,35779,33.4,19322,20.1,2013,12,055
2013,Hillsborough County,48264,49510,50756,24.0,213320,16.8,2013,12,057
2013,Holmes County,30482,33220,35958,38.3,4903,27.5,2013,12,059
2013,Indian River County,41455,44326,47197,24.1,19777,14.1,2013,12,061
2013,Jackson County,33708,36332,38956,38.1,10650,26.3,2013,12,063
2013,Jefferson County,35729,39494,43259,30.9,2521,19.6,2013,12,065
2013,Lafayette County,33409,37120,40831,32.5,1774,25.2,2013,12,067
2013,Lake County,41908,44244,46580,23.7,43917,14.5,2013,12,069
2013,Lee County,45228,46605,47982,27.2,106446,16.3,2013,12,071
2013,Leon County,44883,46975,49067,22.6,58109,21.7,2013,12,073
2013,Levy County,30758,33193,35628,39.3,9271,23.6,2013,12,075
2013,Liberty County,33068,36561,40054,33.3,1758,27.7,2013,12,077
2013,Madison County,27621,30391,33161,42.1,4827,28.9,2013,12,079
2013,Manatee County,45992,48066,50140,28.3,54016,16.0,2013,12,081
2013,Marion County,37234,38783,40332,30.1,64258,19.6,2013,12,083
2013,Martin County,47016,51159,55302,20.6,19866,13.5,2013,12,085
2013,Miami-Dade County,41245,41840,42435,27.8,541443,21.0,2013,12,086
2013,Monroe County,47279,50380,53481,23.6,12666,16.8,2013,12,087
2013,Nassau County,52592,56987,61382,20.4,10071,13.4,2013,12,089
2013,Okaloosa County,51679,54265,56851,20.8,25155,13.4,2013,12,091
